StackName,LogicalID,PhysicalID,Type,Status
IamRoleConfigStack-233693416966,testshsecurityiamrolebreakglass0AB98178,test-sh-security-iamrole-breakglass,AWS::IAM::Role,CREATE_COMPLETE
StackSet-CustomControlTower-tenantIamAcmRole-ea404937-fc9a-4dab-a6d4-bebe516f97cc,TenantIamAcmRole,TenantIamAcmRole,AWS::IAM::Role,CREATE_COMPLETE
StackSet-CustomControlTower-githubActionsRole-7648b32c-fb1b-4e13-b9e6-8e32dc343a6f,GitHubActionsRole,GitHubActionsRole,AWS::IAM::Role,UPDATE_COMPLETE
StackSet-CustomControlTower-githubActionsRole-7648b32c-fb1b-4e13-b9e6-8e32dc343a6f,GitHubActionsRoleforIAMUser,GitHubActionsRoleforIAMUser,AWS::IAM::Role,CREATE_COMPLETE
TagPoliciesDemoStack,MyRole17FE9F8AE,,AWS::IAM::Role,DELETE_COMPLETE
TagPoliciesDemoStack,MyRoleF48FFE04,,AWS::IAM::Role,DELETE_COMPLETE
TestroleappStack,LambdaRole3A44B857,Name_of_your_Role,AWS::IAM::Role,UPDATE_COMPLETE
SpokedetectivecontrolsStack,EventBridgeRoleuseast1BA5A6AE8,TELUS-EventBridge-Detective-Controls-us-east-1,AWS::IAM::Role,CREATE_COMPLETE
StackSet-AWSControlTowerBP-BASELINE-ROLES-9ae69031-89bd-4882-b9f3-8239c20681de,AdminExecutionRole,aws-controltower-AdministratorExecutionRole,AWS::IAM::Role,CREATE_COMPLETE
StackSet-AWSControlTowerBP-BASELINE-ROLES-9ae69031-89bd-4882-b9f3-8239c20681de,ReadOnlyExecutionRole,aws-controltower-ReadOnlyExecutionRole,AWS::IAM::Role,CREATE_COMPLETE
StackSet-AWSControlTowerBP-BASELINE-SERVICE-ROLES-31982f8c-7d33-4de0-b154-9f2e1071bd8e,ConfigRecorderRole,aws-controltower-ConfigRecorderRole,AWS::IAM::Role,CREATE_COMPLETE
StackSet-AWSControlTowerBP-BASELINE-SERVICE-ROLES-31982f8c-7d33-4de0-b154-9f2e1071bd8e,ForwardSnsNotificationLambdaRole,aws-controltower-ForwardSnsNotificationRole,AWS::IAM::Role,CREATE_COMPLETE
Memberaccount-EventbridgeIAMROle,IAMRoleForEventTarget,TELUS-EventBridge-RoletoPublishto-CentralAccount,AWS::IAM::Role,CREATE_COMPLETE
CDKToolkit,CloudFormationExecutionRole,cdk-hnb659fds-cfn-exec-role-233693416966-us-east-1,AWS::IAM::Role,CREATE_COMPLETE
CDKToolkit,DeploymentActionRole,cdk-hnb659fds-deploy-role-233693416966-us-east-1,AWS::IAM::Role,CREATE_COMPLETE
CDKToolkit,FilePublishingRole,cdk-hnb659fds-file-publishing-role-233693416966-us-east-1,AWS::IAM::Role,CREATE_COMPLETE
CDKToolkit,ImagePublishingRole,cdk-hnb659fds-image-publishing-role-233693416966-us-east-1,AWS::IAM::Role,CREATE_COMPLETE
CDKToolkit,LookupRole,cdk-hnb659fds-lookup-role-233693416966-us-east-1,AWS::IAM::Role,CREATE_COMPLETE
StackSet-CustomControlTower-iamroleconfig-KJ-4120c0a3-b4d5-4482-b2bf-1bda39f0a5ab,IAMConfigRoleforAutomation,IAMConfigRoleforAutomation,AWS::IAM::Role,CREATE_COMPLETE
StackSet-CustomControlTower-iamroleconfig-KJ-4120c0a3-b4d5-4482-b2bf-1bda39f0a5ab,IAMRoleForLambda,tel-sh-security-iam-role-for-lambda,AWS::IAM::Role,CREATE_COMPLETE
StackSet-CustomControlTower-iampathrole-29744227-d4db-4948-a8bb-a1facd6f93c3,IAMPasswordPolicyLambdaRole,sec-IAMPasswordLambdaRole,AWS::IAM::Role,CREATE_COMPLETE
StackSet-AWS-QuickSetup-CFGRecording-TA-62d8q-3c266ed1-c496-4112-987f-33bf8ce5adb1,RoleForAutomation,AWS-QuickSetup-EnableCRecording-62d8q_us-east-1,AWS::IAM::Role,CREATE_COMPLETE
